"number","n_gene","cat"
"GO:0004045",2,"GOs"
"GO:0004048",2,"GOs"
"GO:0004072",2,"GOs"
"GO:0004175",2,"GOs"
"GO:0004314",2,"GOs"
"GO:0004416",2,"GOs"
"GO:0004525",2,"GOs"
"GO:0004791",2,"GOs"
"GO:0004853",2,"GOs"
"GO:0005355",2,"GOs"
"GO:0005694",2,"GOs"
"GO:0005768",2,"GOs"
"GO:0005773",2,"GOs"
"GO:0005774",2,"GOs"
"GO:0005783",2,"GOs"
"GO:0005794",2,"GOs"
"GO:0005802",2,"GOs"
"GO:0006066",2,"GOs"
"GO:0006099",2,"GOs"
"GO:0006101",2,"GOs"
"GO:0006119",2,"GOs"
"GO:0006120",2,"GOs"
"GO:0006144",2,"GOs"
"GO:0006221",2,"GOs"
"GO:0006352",2,"GOs"
"GO:0006366",2,"GOs"
"GO:0006397",2,"GOs"
"GO:0006426",2,"GOs"
"GO:0006432",2,"GOs"
"GO:0006515",2,"GOs"
"GO:0006547",2,"GOs"
"GO:0006720",2,"GOs"
"GO:0006887",2,"GOs"
"GO:0006897",2,"GOs"
"GO:0006898",2,"GOs"
"GO:0007010",2,"GOs"
"GO:0007093",2,"GOs"
"GO:0007346",2,"GOs"
"GO:0008202",2,"GOs"
"GO:0008235",2,"GOs"
"GO:0008238",2,"GOs"
"GO:0008299",2,"GOs"
"GO:0008413",2,"GOs"
"GO:0008425",2,"GOs"
"GO:0008444",2,"GOs"
"GO:0008614",2,"GOs"
"GO:0008615",2,"GOs"
"GO:0008645",2,"GOs"
"GO:0008661",2,"GOs"
"GO:0008810",2,"GOs"
"GO:0008881",2,"GOs"
"GO:0008905",2,"GOs"
"GO:0008928",2,"GOs"
"GO:0009067",2,"GOs"
"GO:0009069",2,"GOs"
"GO:0009070",2,"GOs"
"GO:0009085",2,"GOs"
"GO:0009089",2,"GOs"
"GO:0009090",2,"GOs"
"GO:0009092",2,"GOs"
"GO:0009124",2,"GOs"
"GO:0009156",2,"GOs"
"GO:0009220",2,"GOs"
"GO:0009240",2,"GOs"
"GO:0009328",2,"GOs"
"GO:0009383",2,"GOs"
"GO:0010948",2,"GOs"
"GO:0012506",2,"GOs"
"GO:0015145",2,"GOs"
"GO:0015149",2,"GOs"
"GO:0015629",2,"GOs"
"GO:0015749",2,"GOs"
"GO:0016125",2,"GOs"
"GO:0016151",2,"GOs"
"GO:0016192",2,"GOs"
"GO:0016417",2,"GOs"
"GO:0016419",2,"GOs"
"GO:0016420",2,"GOs"
"GO:0016434",2,"GOs"
"GO:0016744",2,"GOs"
"GO:0016774",2,"GOs"
"GO:0016854",2,"GOs"
"GO:0016855",2,"GOs"
"GO:0016860",2,"GOs"
"GO:0016861",2,"GOs"
"GO:0016879",2,"GOs"
"GO:0016891",2,"GOs"
"GO:0016893",2,"GOs"
"GO:0017110",2,"GOs"
"GO:0017169",2,"GOs"
"GO:0019072",2,"GOs"
"GO:0019073",2,"GOs"
"GO:0019202",2,"GOs"
"GO:0019205",2,"GOs"
"GO:0019288",2,"GOs"
"GO:0019682",2,"GOs"
"GO:0020037",2,"GOs"
"GO:0030030",2,"GOs"
"GO:0030031",2,"GOs"
"GO:0030100",2,"GOs"
"GO:0030117",2,"GOs"
"GO:0030118",2,"GOs"
"GO:0030120",2,"GOs"
"GO:0030125",2,"GOs"
"GO:0030135",2,"GOs"
"GO:0030136",2,"GOs"
"GO:0030276",2,"GOs"
"GO:0030436",2,"GOs"
"GO:0030479",2,"GOs"
"GO:0030580",2,"GOs"
"GO:0030659",2,"GOs"
"GO:0030662",2,"GOs"
"GO:0030665",2,"GOs"
"GO:0030863",2,"GOs"
"GO:0030864",2,"GOs"
"GO:0030976",2,"GOs"
"GO:0031410",2,"GOs"
"GO:0031974",2,"GOs"
"GO:0031981",2,"GOs"
"GO:0031982",2,"GOs"
"GO:0032050",2,"GOs"
"GO:0032296",2,"GOs"
"GO:0033043",2,"GOs"
"GO:0033044",2,"GOs"
"GO:0034061",2,"GOs"
"GO:0035539",2,"GOs"
"GO:0036361",2,"GOs"
"GO:0040008",2,"GOs"
"GO:0042277",2,"GOs"
"GO:0042726",2,"GOs"
"GO:0042773",2,"GOs"
"GO:0042775",2,"GOs"
"GO:0042816",2,"GOs"
"GO:0042819",2,"GOs"
"GO:0043024",2,"GOs"
"GO:0043233",2,"GOs"
"GO:0043333",2,"GOs"
"GO:0043457",2,"GOs"
"GO:0043618",2,"GOs"
"GO:0043934",2,"GOs"
"GO:0044427",2,"GOs"
"GO:0044431",2,"GOs"
"GO:0044433",2,"GOs"
"GO:0044437",2,"GOs"
"GO:0044454",2,"GOs"
"GO:0044715",2,"GOs"
"GO:0044716",2,"GOs"
"GO:0045004",2,"GOs"
"GO:0045005",2,"GOs"
"GO:0045271",2,"GOs"
"GO:0045272",2,"GOs"
"GO:0045454",2,"GOs"
"GO:0045786",2,"GOs"
"GO:0045807",2,"GOs"
"GO:0045930",2,"GOs"
"GO:0045944",2,"GOs"
"GO:0045991",2,"GOs"
"GO:0046451",2,"GOs"
"GO:0046490",2,"GOs"
"GO:0046906",2,"GOs"
"GO:0047661",2,"GOs"
"GO:0048475",2,"GOs"
"GO:0048856",2,"GOs"
"GO:0048869",2,"GOs"
"GO:0051050",2,"GOs"
"GO:0051053",2,"GOs"
"GO:0051538",2,"GOs"
"GO:0052803",2,"GOs"
"GO:0060627",2,"GOs"
"GO:0061418",2,"GOs"
"GO:0061428",2,"GOs"
"GO:0061645",2,"GOs"
"GO:0070013",2,"GOs"
"GO:0070199",2,"GOs"
"GO:0070568",2,"GOs"
"GO:0071168",2,"GOs"
"GO:0071169",2,"GOs"
"GO:0071456",2,"GOs"
"GO:0071467",2,"GOs"
"GO:0071897",2,"GOs"
"GO:0071978",2,"GOs"
"GO:0072350",2,"GOs"
"GO:0072524",2,"GOs"
"GO:0072525",2,"GOs"
"GO:0072583",2,"GOs"
"GO:0072594",2,"GOs"
"GO:0097201",2,"GOs"
"GO:0097708",2,"GOs"
"GO:0098791",2,"GOs"
"GO:0098852",2,"GOs"
"GO:1901987",2,"GOs"
"GO:1901990",2,"GOs"
"GO:1902652",2,"GOs"
"GO:1903047",2,"GOs"
"GO:1904659",2,"GOs"
"GO:1990204",2,"GOs"
"GO:0000018",1,"GOs"
"GO:0000022",1,"GOs"
"GO:0000050",1,"GOs"
"GO:0000070",1,"GOs"
"GO:0000077",1,"GOs"
"GO:0000103",1,"GOs"
"GO:0000104",1,"GOs"
"GO:0000105",1,"GOs"
"GO:0000131",1,"GOs"
"GO:0000226",1,"GOs"
"GO:0000243",1,"GOs"
"GO:0000245",1,"GOs"
"GO:0000276",1,"GOs"
"GO:0000280",1,"GOs"
"GO:0000375",1,"GOs"
"GO:0000377",1,"GOs"
"GO:0000395",1,"GOs"
"GO:0000398",1,"GOs"
"GO:0000455",1,"GOs"
"GO:0000470",1,"GOs"
"GO:0000727",1,"GOs"
"GO:0000738",1,"GOs"
"GO:0000775",1,"GOs"
"GO:0000776",1,"GOs"
"GO:0000777",1,"GOs"
"GO:0000778",1,"GOs"
"GO:0000779",1,"GOs"
"GO:0000780",1,"GOs"
"GO:0000792",1,"GOs"
"GO:0000793",1,"GOs"
"GO:0000794",1,"GOs"
"GO:0000902",1,"GOs"
"GO:0000906",1,"GOs"
"GO:0001411",1,"GOs"
"GO:0001505",1,"GOs"
"GO:0001558",1,"GOs"
"GO:0001896",1,"GOs"
"GO:0002181",1,"GOs"
"GO:0002184",1,"GOs"
"GO:0003006",1,"GOs"
"GO:0003682",1,"GOs"
"GO:0003688",1,"GOs"
"GO:0003724",1,"GOs"
"GO:0003730",1,"GOs"
"GO:0003825",1,"GOs"
"GO:0003861",1,"GOs"
"GO:0003867",1,"GOs"
"GO:0003899",1,"GOs"
"GO:0003905",1,"GOs"
"GO:0003942",1,"GOs"
"GO:0003949",1,"GOs"
"GO:0003992",1,"GOs"
"GO:0003993",1,"GOs"
"GO:0003994",1,"GOs"
"GO:0004004",1,"GOs"
"GO:0004038",1,"GOs"
"GO:0004040",1,"GOs"
"GO:0004070",1,"GOs"
"GO:0004112",1,"GOs"
"GO:0004113",1,"GOs"
"GO:0004177",1,"GOs"
"GO:0004222",1,"GOs"
"GO:0004252",1,"GOs"
"GO:0004309",1,"GOs"
"GO:0004329",1,"GOs"
"GO:0004385",1,"GOs"
"GO:0004470",1,"GOs"
"GO:0004475",1,"GOs"
"GO:0004477",1,"GOs"
"GO:0004488",1,"GOs"
"GO:0004497",1,"GOs"
"GO:0004534",1,"GOs"
"GO:0004601",1,"GOs"
"GO:0004604",1,"GOs"
"GO:0004647",1,"GOs"
"GO:0004674",1,"GOs"
"GO:0004730",1,"GOs"
"GO:0004764",1,"GOs"
"GO:0004772",1,"GOs"
"GO:0004829",1,"GOs"
"GO:0004842",1,"GOs"
"GO:0004845",1,"GOs"
"GO:0004849",1,"GOs"
"GO:0004852",1,"GOs"
"GO:0005542",1,"GOs"
"GO:0005543",1,"GOs"
"GO:0005628",1,"GOs"
"GO:0005654",1,"GOs"
"GO:0005656",1,"GOs"
"GO:0005657",1,"GOs"
"GO:0005681",1,"GOs"
"GO:0005684",1,"GOs"
"GO:0005685",1,"GOs"
"GO:0005720",1,"GOs"
"GO:0005721",1,"GOs"
"GO:0005740",1,"GOs"
"GO:0005743",1,"GOs"
"GO:0005753",1,"GOs"
"GO:0005789",1,"GOs"
"GO:0005819",1,"GOs"
"GO:0005874",1,"GOs"
"GO:0005875",1,"GOs"
"GO:0005933",1,"GOs"
"GO:0005934",1,"GOs"
"GO:0005935",1,"GOs"
"GO:0005937",1,"GOs"
"GO:0005951",1,"GOs"
"GO:0005992",1,"GOs"
"GO:0006063",1,"GOs"
"GO:0006073",1,"GOs"
"GO:0006083",1,"GOs"
"GO:0006106",1,"GOs"
"GO:0006108",1,"GOs"
"GO:0006113",1,"GOs"
"GO:0006145",1,"GOs"
"GO:0006222",1,"GOs"
"GO:0006267",1,"GOs"
"GO:0006270",1,"GOs"
"GO:0006275",1,"GOs"
"GO:0006284",1,"GOs"
"GO:0006323",1,"GOs"
"GO:0006376",1,"GOs"
"GO:0006415",1,"GOs"
"GO:0006435",1,"GOs"
"GO:0006548",1,"GOs"
"GO:0006555",1,"GOs"
"GO:0006566",1,"GOs"
"GO:0006591",1,"GOs"
"GO:0006595",1,"GOs"
"GO:0006598",1,"GOs"
"GO:0006694",1,"GOs"
"GO:0006696",1,"GOs"
"GO:0006706",1,"GOs"
"GO:0006707",1,"GOs"
"GO:0006754",1,"GOs"
"GO:0006771",1,"GOs"
"GO:0006782",1,"GOs"
"GO:0006797",1,"GOs"
"GO:0006798",1,"GOs"
"GO:0006915",1,"GOs"
"GO:0006997",1,"GOs"
"GO:0007000",1,"GOs"
"GO:0007005",1,"GOs"
"GO:0007006",1,"GOs"
"GO:0007007",1,"GOs"
"GO:0007017",1,"GOs"
"GO:0007051",1,"GOs"
"GO:0007052",1,"GOs"
"GO:0007076",1,"GOs"
"GO:0007088",1,"GOs"
"GO:0007094",1,"GOs"
"GO:0007114",1,"GOs"
"GO:0007117",1,"GOs"
"GO:0007118",1,"GOs"
"GO:0007276",1,"GOs"
"GO:0007281",1,"GOs"
"GO:0007283",1,"GOs"
"GO:0007286",1,"GOs"
"GO:0008081",1,"GOs"
"GO:0008156",1,"GOs"
"GO:0008171",1,"GOs"
"GO:0008176",1,"GOs"
"GO:0008186",1,"GOs"
"GO:0008194",1,"GOs"
"GO:0008198",1,"GOs"
"GO:0008203",1,"GOs"
"GO:0008204",1,"GOs"
"GO:0008297",1,"GOs"
"GO:0008310",1,"GOs"
"GO:0008360",1,"GOs"
"GO:0008379",1,"GOs"
"GO:0008380",1,"GOs"
"GO:0008395",1,"GOs"
"GO:0008409",1,"GOs"
"GO:0008452",1,"GOs"
"GO:0008483",1,"GOs"
"GO:0008608",1,"GOs"
"GO:0008655",1,"GOs"
"GO:0008664",1,"GOs"
"GO:0008667",1,"GOs"
"GO:0008689",1,"GOs"
"GO:0008740",1,"GOs"
"GO:0008767",1,"GOs"
"GO:0008794",1,"GOs"
"GO:0008852",1,"GOs"
"GO:0008963",1,"GOs"
"GO:0009030",1,"GOs"
"GO:0009113",1,"GOs"
"GO:0009127",1,"GOs"
"GO:0009129",1,"GOs"
"GO:0009130",1,"GOs"
"GO:0009132",1,"GOs"
"GO:0009135",1,"GOs"
"GO:0009142",1,"GOs"
"GO:0009145",1,"GOs"
"GO:0009163",1,"GOs"
"GO:0009168",1,"GOs"
"GO:0009173",1,"GOs"
"GO:0009174",1,"GOs"
"GO:0009179",1,"GOs"
"GO:0009185",1,"GOs"
"GO:0009201",1,"GOs"
"GO:0009206",1,"GOs"
"GO:0009229",1,"GOs"
"GO:0009231",1,"GOs"
"GO:0009237",1,"GOs"
"GO:0009238",1,"GOs"
"GO:0009239",1,"GOs"
"GO:0009250",1,"GOs"
"GO:0009256",1,"GOs"
"GO:0009257",1,"GOs"
"GO:0009272",1,"GOs"
"GO:0009297",1,"GOs"
"GO:0009310",1,"GOs"
"GO:0009316",1,"GOs"
"GO:0009380",1,"GOs"
"GO:0009381",1,"GOs"
"GO:0009405",1,"GOs"
"GO:0009409",1,"GOs"
"GO:0009445",1,"GOs"
"GO:0009447",1,"GOs"
"GO:0009448",1,"GOs"
"GO:0009450",1,"GOs"
"GO:0009507",1,"GOs"
"GO:0009536",1,"GOs"
"GO:0009566",1,"GOs"
"GO:0009653",1,"GOs"
"GO:0009712",1,"GOs"
"GO:0009713",1,"GOs"
"GO:0009966",1,"GOs"
"GO:0010126",1,"GOs"
"GO:0010127",1,"GOs"
"GO:0010226",1,"GOs"
"GO:0010494",1,"GOs"
"GO:0010501",1,"GOs"
"GO:0010528",1,"GOs"
"GO:0010570",1,"GOs"
"GO:0010639",1,"GOs"
"GO:0010646",1,"GOs"
"GO:0010965",1,"GOs"
"GO:0015037",1,"GOs"
"GO:0015038",1,"GOs"
"GO:0015473",1,"GOs"
"GO:0015630",1,"GOs"
"GO:0015638",1,"GOs"
"GO:0015796",1,"GOs"
"GO:0015847",1,"GOs"
"GO:0015985",1,"GOs"
"GO:0015986",1,"GOs"
"GO:0015988",1,"GOs"
"GO:0015990",1,"GOs"
"GO:0016036",1,"GOs"
"GO:0016042",1,"GOs"
"GO:0016075",1,"GOs"
"GO:0016126",1,"GOs"
"GO:0016127",1,"GOs"
"GO:0016128",1,"GOs"
"GO:0016129",1,"GOs"
"GO:0016137",1,"GOs"
"GO:0016156",1,"GOs"
"GO:0016226",1,"GOs"
"GO:0016405",1,"GOs"
"GO:0016423",1,"GOs"
"GO:0016469",1,"GOs"
"GO:0016485",1,"GOs"
"GO:0016556",1,"GOs"
"GO:0016567",1,"GOs"
"GO:0016615",1,"GOs"
"GO:0016620",1,"GOs"
"GO:0016645",1,"GOs"
"GO:0016646",1,"GOs"
"GO:0016661",1,"GOs"
"GO:0016662",1,"GOs"
"GO:0016684",1,"GOs"
"GO:0016705",1,"GOs"
"GO:0016709",1,"GOs"
"GO:0016743",1,"GOs"
"GO:0016769",1,"GOs"
"GO:0016799",1,"GOs"
"GO:0016805",1,"GOs"
"GO:0016813",1,"GOs"
"GO:0016832",1,"GOs"
"GO:0016877",1,"GOs"
"GO:0016878",1,"GOs"
"GO:0016881",1,"GOs"
"GO:0016886",1,"GOs"
"GO:0016903",1,"GOs"
"GO:0017000",1,"GOs"
"GO:0017057",1,"GOs"
"GO:0017069",1,"GOs"
"GO:0018105",1,"GOs"
"GO:0018169",1,"GOs"
"GO:0018209",1,"GOs"
"GO:0018410",1,"GOs"
"GO:0018958",1,"GOs"
"GO:0018962",1,"GOs"
"GO:0019104",1,"GOs"
"GO:0019184",1,"GOs"
"GO:0019206",1,"GOs"
"GO:0019238",1,"GOs"
"GO:0019290",1,"GOs"
"GO:0019299",1,"GOs"
"GO:0019301",1,"GOs"
"GO:0019318",1,"GOs"
"GO:0019320",1,"GOs"
"GO:0019324",1,"GOs"
"GO:0019379",1,"GOs"
"GO:0019380",1,"GOs"
"GO:0019413",1,"GOs"
"GO:0019419",1,"GOs"
"GO:0019534",1,"GOs"
"GO:0019540",1,"GOs"
"GO:0019541",1,"GOs"
"GO:0019586",1,"GOs"
"GO:0019627",1,"GOs"
"GO:0019632",1,"GOs"
"GO:0019634",1,"GOs"
"GO:0019645",1,"GOs"
"GO:0019679",1,"GOs"
"GO:0019787",1,"GOs"
"GO:0019843",1,"GOs"
"GO:0019866",1,"GOs"
"GO:0019953",1,"GOs"
"GO:0022411",1,"GOs"
"GO:0022412",1,"GOs"
"GO:0022603",1,"GOs"
"GO:0022604",1,"GOs"
"GO:0022627",1,"GOs"
"GO:0022898",1,"GOs"
"GO:0023051",1,"GOs"
"GO:0030002",1,"GOs"
"GO:0030029",1,"GOs"
"GO:0030036",1,"GOs"
"GO:0030071",1,"GOs"
"GO:0030154",1,"GOs"
"GO:0030170",1,"GOs"
"GO:0030176",1,"GOs"
"GO:0030261",1,"GOs"
"GO:0030320",1,"GOs"
"GO:0030350",1,"GOs"
"GO:0030427",1,"GOs"
"GO:0030428",1,"GOs"
"GO:0030447",1,"GOs"
"GO:0030490",1,"GOs"
"GO:0030532",1,"GOs"
"GO:0030611",1,"GOs"
"GO:0030613",1,"GOs"
"GO:0030614",1,"GOs"
"GO:0030619",1,"GOs"
"GO:0030643",1,"GOs"
"GO:0030865",1,"GOs"
"GO:0030866",1,"GOs"
"GO:0030950",1,"GOs"
"GO:0030952",1,"GOs"
"GO:0031073",1,"GOs"
"GO:0031118",1,"GOs"
"GO:0031134",1,"GOs"
"GO:0031163",1,"GOs"
"GO:0031227",1,"GOs"
"GO:0031234",1,"GOs"
"GO:0031261",1,"GOs"
"GO:0031298",1,"GOs"
"GO:0031505",1,"GOs"
"GO:0031570",1,"GOs"
"GO:0031573",1,"GOs"
"GO:0031577",1,"GOs"
"GO:0031579",1,"GOs"
"GO:0031618",1,"GOs"
"GO:0031935",1,"GOs"
"GO:0031938",1,"GOs"
"GO:0031966",1,"GOs"
"GO:0031967",1,"GOs"
"GO:0032065",1,"GOs"
"GO:0032133",1,"GOs"
"GO:0032409",1,"GOs"
"GO:0032410",1,"GOs"
"GO:0032412",1,"GOs"
"GO:0032413",1,"GOs"
"GO:0032446",1,"GOs"
"GO:0032501",1,"GOs"
"GO:0032504",1,"GOs"
"GO:0032843",1,"GOs"
"GO:0032878",1,"GOs"
"GO:0032950",1,"GOs"
"GO:0032951",1,"GOs"
"GO:0032984",1,"GOs"
"GO:0032989",1,"GOs"
"GO:0033045",1,"GOs"
"GO:0033046",1,"GOs"
"GO:0033047",1,"GOs"
"GO:0033048",1,"GOs"
"GO:0033051",1,"GOs"
"GO:0033177",1,"GOs"
"GO:0033260",1,"GOs"
"GO:0033262",1,"GOs"
"GO:0034059",1,"GOs"
"GO:0034062",1,"GOs"
"GO:0034337",1,"GOs"
"GO:0034501",1,"GOs"
"GO:0034503",1,"GOs"
"GO:0034661",1,"GOs"
"GO:0034708",1,"GOs"
"GO:0034737",1,"GOs"
"GO:0034738",1,"GOs"
"GO:0034975",1,"GOs"
"GO:0035251",1,"GOs"
"GO:0035551",1,"GOs"
"GO:0035770",1,"GOs"
"GO:0035838",1,"GOs"
"GO:0036168",1,"GOs"
"GO:0036170",1,"GOs"
"GO:0036176",1,"GOs"
"GO:0036177",1,"GOs"
"GO:0036178",1,"GOs"
"GO:0036180",1,"GOs"
"GO:0036199",1,"GOs"
"GO:0036244",1,"GOs"
"GO:0036265",1,"GOs"
"GO:0036387",1,"GOs"
"GO:0036388",1,"GOs"
"GO:0036464",1,"GOs"
"GO:0042133",1,"GOs"
"GO:0042135",1,"GOs"
"GO:0042175",1,"GOs"
"GO:0042278",1,"GOs"
"GO:0042279",1,"GOs"
"GO:0042357",1,"GOs"
"GO:0042402",1,"GOs"
"GO:0042407",1,"GOs"
"GO:0042450",1,"GOs"
"GO:0042455",1,"GOs"
"GO:0042727",1,"GOs"
"GO:0042763",1,"GOs"
"GO:0042764",1,"GOs"
"GO:0042770",1,"GOs"
"GO:0042873",1,"GOs"
"GO:0042885",1,"GOs"
"GO:0043023",1,"GOs"
"GO:0043094",1,"GOs"
"GO:0043097",1,"GOs"
"GO:0043138",1,"GOs"
"GO:0043171",1,"GOs"
"GO:0043174",1,"GOs"
"GO:0043332",1,"GOs"
"GO:0043431",1,"GOs"
"GO:0043527",1,"GOs"
"GO:0043596",1,"GOs"
"GO:0043624",1,"GOs"
"GO:0043687",1,"GOs"
"GO:0043711",1,"GOs"
"GO:0043902",1,"GOs"
"GO:0044042",1,"GOs"
"GO:0044107",1,"GOs"
"GO:0044108",1,"GOs"
"GO:0044182",1,"GOs"
"GO:0044429",1,"GOs"
"GO:0044432",1,"GOs"
"GO:0044451",1,"GOs"
"GO:0044455",1,"GOs"
"GO:0044550",1,"GOs"
"GO:0044703",1,"GOs"
"GO:0044773",1,"GOs"
"GO:0044774",1,"GOs"
"GO:0044780",1,"GOs"
"GO:0044781",1,"GOs"
"GO:0044786",1,"GOs"
"GO:0044872",1,"GOs"
"GO:0044873",1,"GOs"
"GO:0044874",1,"GOs"
"GO:0045259",1,"GOs"
"GO:0045263",1,"GOs"
"GO:0045273",1,"GOs"
"GO:0045274",1,"GOs"
"GO:0045283",1,"GOs"
"GO:0045284",1,"GOs"
"GO:0045292",1,"GOs"
"GO:0045839",1,"GOs"
"GO:0045841",1,"GOs"
"GO:0045851",1,"GOs"
"GO:0045910",1,"GOs"
"GO:0045927",1,"GOs"
"GO:0045931",1,"GOs"
"GO:0046037",1,"GOs"
"GO:0046049",1,"GOs"
"GO:0046112",1,"GOs"
"GO:0046128",1,"GOs"
"GO:0046132",1,"GOs"
"GO:0046134",1,"GOs"
"GO:0046164",1,"GOs"
"GO:0046165",1,"GOs"
"GO:0046189",1,"GOs"
"GO:0046351",1,"GOs"
"GO:0046397",1,"GOs"
"GO:0046443",1,"GOs"
"GO:0046459",1,"GOs"
"GO:0046501",1,"GOs"
"GO:0046527",1,"GOs"
"GO:0046655",1,"GOs"
"GO:0046656",1,"GOs"
"GO:0046685",1,"GOs"
"GO:0046710",1,"GOs"
"GO:0046729",1,"GOs"
"GO:0046940",1,"GOs"
"GO:0047260",1,"GOs"
"GO:0047456",1,"GOs"
"GO:0048232",1,"GOs"
"GO:0048285",1,"GOs"
"GO:0048468",1,"GOs"
"GO:0048515",1,"GOs"
"GO:0048584",1,"GOs"
"GO:0048609",1,"GOs"
"GO:0050145",1,"GOs"
"GO:0050218",1,"GOs"
"GO:0050518",1,"GOs"
"GO:0050661",1,"GOs"
"GO:0050793",1,"GOs"
"GO:0050897",1,"GOs"
"GO:0051082",1,"GOs"
"GO:0051129",1,"GOs"
"GO:0051225",1,"GOs"
"GO:0051231",1,"GOs"
"GO:0051233",1,"GOs"
"GO:0051273",1,"GOs"
"GO:0051274",1,"GOs"
"GO:0051285",1,"GOs"
"GO:0051286",1,"GOs"
"GO:0051336",1,"GOs"
"GO:0051345",1,"GOs"
"GO:0051409",1,"GOs"
"GO:0051452",1,"GOs"
"GO:0051453",1,"GOs"
"GO:0051575",1,"GOs"
"GO:0051668",1,"GOs"
"GO:0051783",1,"GOs"
"GO:0051784",1,"GOs"
"GO:0051920",1,"GOs"
"GO:0051983",1,"GOs"
"GO:0051985",1,"GOs"
"GO:0052805",1,"GOs"
"GO:0055062",1,"GOs"
"GO:0055081",1,"GOs"
"GO:0055083",1,"GOs"
"GO:0060237",1,"GOs"
"GO:0060542",1,"GOs"
"GO:0060543",1,"GOs"
"GO:0060968",1,"GOs"
"GO:0061542",1,"GOs"
"GO:0061595",1,"GOs"
"GO:0065004",1,"GOs"
"GO:0070006",1,"GOs"
"GO:0070012",1,"GOs"
"GO:0070084",1,"GOs"
"GO:0070279",1,"GOs"
"GO:0070413",1,"GOs"
"GO:0070567",1,"GOs"
"GO:0070573",1,"GOs"
"GO:0070647",1,"GOs"
"GO:0070726",1,"GOs"
"GO:0070739",1,"GOs"
"GO:0070894",1,"GOs"
"GO:0071004",1,"GOs"
"GO:0071010",1,"GOs"
"GO:0071011",1,"GOs"
"GO:0071162",1,"GOs"
"GO:0071163",1,"GOs"
"GO:0071173",1,"GOs"
"GO:0071174",1,"GOs"
"GO:0071454",1,"GOs"
"GO:0071459",1,"GOs"
"GO:0071555",1,"GOs"
"GO:0071723",1,"GOs"
"GO:0071766",1,"GOs"
"GO:0071824",1,"GOs"
"GO:0071852",1,"GOs"
"GO:0071940",1,"GOs"
"GO:0071941",1,"GOs"
"GO:0072341",1,"GOs"
"GO:0072387",1,"GOs"
"GO:0072395",1,"GOs"
"GO:0072401",1,"GOs"
"GO:0072413",1,"GOs"
"GO:0072422",1,"GOs"
"GO:0072428",1,"GOs"
"GO:0072501",1,"GOs"
"GO:0072502",1,"GOs"
"GO:0072505",1,"GOs"
"GO:0072506",1,"GOs"
"GO:0072686",1,"GOs"
"GO:0080134",1,"GOs"
"GO:0090033",1,"GOs"
"GO:0090307",1,"GOs"
"GO:0090329",1,"GOs"
"GO:0090584",1,"GOs"
"GO:0097164",1,"GOs"
"GO:0097248",1,"GOs"
"GO:0097384",1,"GOs"
"GO:0097525",1,"GOs"
"GO:0097747",1,"GOs"
"GO:0098687",1,"GOs"
"GO:0098798",1,"GOs"
"GO:0098800",1,"GOs"
"GO:0098809",1,"GOs"
"GO:0098827",1,"GOs"
"GO:0099080",1,"GOs"
"GO:0099081",1,"GOs"
"GO:0099512",1,"GOs"
"GO:0099513",1,"GOs"
"GO:0099738",1,"GOs"
"GO:0106004",1,"GOs"
"GO:0120025",1,"GOs"
"GO:0120038",1,"GOs"
"GO:0120114",1,"GOs"
"GO:0140014",1,"GOs"
"GO:1900087",1,"GOs"
"GO:1900192",1,"GOs"
"GO:1900233",1,"GOs"
"GO:1900428",1,"GOs"
"GO:1900430",1,"GOs"
"GO:1900431",1,"GOs"
"GO:1900433",1,"GOs"
"GO:1900440",1,"GOs"
"GO:1900442",1,"GOs"
"GO:1900741",1,"GOs"
"GO:1900743",1,"GOs"
"GO:1900750",1,"GOs"
"GO:1901068",1,"GOs"
"GO:1901611",1,"GOs"
"GO:1901616",1,"GOs"
"GO:1901659",1,"GOs"
"GO:1901988",1,"GOs"
"GO:1901989",1,"GOs"
"GO:1901991",1,"GOs"
"GO:1901992",1,"GOs"
"GO:1901998",1,"GOs"
"GO:1902099",1,"GOs"
"GO:1902100",1,"GOs"
"GO:1902275",1,"GOs"
"GO:1902292",1,"GOs"
"GO:1902299",1,"GOs"
"GO:1902315",1,"GOs"
"GO:1902402",1,"GOs"
